4011100009;Прочие шины и покрышки пневматические резиновые новые, для легковых автомобилей (включая грузопассажирские автомобили-фургоны и спортивные автомобили);
3305900009;Прочие средства для волос;
4011100003;Шины и покрышки пневматические резиновые новые, для легковых автомобилей (включая грузопассажирские автомобили-фургоны и спортивные автомобили) с посадочным диаметром не более 16 дюймов;
8708299009;Части и принадлежности кузовов (включая кабины) моторных транспортных средств товарных позиций 8701 - 8705, прочие ;
8504408300;Выпрямители;
8471800000;Устройства вычислительных машин, прочие;
3926909709;Изделия прочие из пластмасс и изделия из прочих материалов товарных позиций 3901 - 3914, прочие;
9503007000; игрушки в наборах или комплектах прочие ;
9503007500;Игрушки и модели, имеющие встроенный двигатель, прочие, пластмассовые ;
9503009500; прочие игрушки, пластмассовые ;
3921909000;Прочие плиты, листы, пленки и полоса или ленты из  пластмасс;
3307900008;"Прочие средства для удаления волос и прочие парфюмерные, косметические и туалетные средства, в другом месте не поименованные или не включенные; дезодоранты для помещений, ароматизированные или не ароматизированные, обладающие или не обладающие дезинфицирующими свойствами";
8708109009;Бамперы и их части моторных транспортных средств товарных позиций 8701 - 8705, прочие ;
9503004900;Игрушки, изображающие животных или других существ, кроме людей, прочие ;
8708999709;Части и принадлежности моторных транспортных средств товарных позиций 8701 - 8705, прочие;
9403609009;Мебель деревянная прочая;
4011800000;Шины и покрышки пневматические резиновые новые для транспортных средств и машин, используемых в строительстве, горном деле или промышленности ;
3907300009;Смолы эпоксидные прочие;
7318158100; винты и болты прочие, в комплекте с гайками или шайбами или без них, из черных металлов, с головками с шестигранной головкой, прочие, с пределом прочности на растяжение менее 800 мпа ;
9504908009;Прочие товары для развлечений, настольные или комнатные игры, включая столы для игры в пинбол;
9503008100;Игрушечное оружие ;
9503002100;Куклы, изображающие только людей ;
8512200009;Прочие приборы освещения или визуальной сигнализации;
3907299009;Прочие полиацетали - полиэфиры простые прочие;
7326909807;Изделия прочие из черных металлов ;
9030331000;Приборы и аппаратура для измерения или контроля напряжения, силы тока, сопротивления или мощности, без записывающего устройства, электронные;
9503005500;Инструменты и устройства музыкальные игрушечные ;
4011209000;Шины и покрышки пневматические резиновые новые, для автобусов или моторных транспортных средств для перевозки грузов с индексом нагрузки более 121;
8504909800;Части преобразователей статических, прочие;
9503003500;Наборы конструкторские и игрушки для конструирования прочие, пластмассовые ;
3909310000;Амино-альдегидные смолы прочие: полиметиленфенилизоцианат (сырой мди, полимерный мди) ;
8544499108;Провода и кабели с изолированными проводниками диаметром более 0,51 мм, на напряжение не более 1000 в, прочие ;
3912398500;Прочие эфиры целлюлозы простые;
3926300000;Крепежные изделия и фурнитура для мебели, транспортных средств или аналогичные изделия из пластмасс и из прочих материалов товарных позиций 3901 - 3914;
9503004100;Игрушки, изображающие животных или других существ, кроме людей, набивные ;
8513100000;Фонари портативные электрические, работающие от собственного источника энергии (например, батарей сухих элементов, аккумуляторов, магнето), кроме осветительного оборудования товарной позиции 8512;
3924900009;Прочие приборы столовые и кухонные принадлежности, прочие предметы домашнего обихода и предметы гигиены или туалета, из пластмасс;
9503003000;"Поезда электрические, включая рельсы, светофоры и их прочие принадлежности; наборы элементов для сборки моделей в уменьшенном размере (""в масштабе"") ";
9506999000;"Прочий инвентарь и оборудование для занятий общей физкультурой, гимнастикой, легкой атлетикой, прочими видами спорта (включая настольный теннис) или для игр на открытом воздухе, в другом месте данной группы не поименованные или не включенные; бассейны плавательные и бассейны для детей";
9503001009;Трехколесные велосипеды, самокаты, педальные автомобили и аналогичные игрушки на колесах;
9001504900;Прочие линзы для очков из прочих материалов, для коррекции зрения, обработанные с обеих сторон;
3923501000;Колпаки и навинчивающиеся пробки для бутылок из пластмасс;
9003110000;Оправы и арматура из пластмасс для очков, защитных очков или аналогичных оптических приборов;
7318149900;Винты прочие самонарезающие, снабженные резьбой,  из черных металлов;
4016930005;Прокладки, шайбы и прочие уплотнители из вулканизованной резины, кроме твердой резины, прочие;
4011900000;Прочие шины и покрышки пневматические резиновые новые;
7318169109;Гайки из черных металлов, прочие, с внутренним диаметром не более 12 мм;
9503001001;Коляски для кукол ;
6307909800;Готовые изделия прочие, включая выкройки одежды;
3919900000;Плиты, листы, пленка, лента, полоса и прочие плоские формы, из пластмасс, самоклеящиеся, в рулонах или не в рулонах ,  прочие;
9603909100;"Щетки для уборки дорожных покрытий; щетки и швабры для дома, включая щетки для чистки обуви и одежды; щетки для ухода за животными";
8544492000;Проводники электрические на напряжение не более 80 в прочие, используемые в телекоммуникации;
7326909409;Изделия прочие из черных металлов, штампованные, прочие ;
2936290009;Витамины прочие и их производные, в чистом виде;
3920510000;Плиты, листы, пленки, фольга и полосы прочие, непористые и неармированные, неслоистые, без подложки и не соединенные аналогичным способом с другими материалами, из полиметилметакрилата;
8302300009;Крепежная арматура, фурнитура и аналогичные детали для моторных транспор ных средств прочие;
3926909200;Изделия прочие из пластмасс и изделия из прочих материалов товарных позиций 3901 - 3914, изготовленные из листового материала;
8708809909;Системы подвески и их части, прочие;
7323990000;Изделия столовые, кухонные или прочие изделия для бытовых нужд и их части, из черных металлов, прочие ;
7009100009;Прочие зеркала стеклянные, в рамах или без рам,  включая зеркала заднего обзора, для транспортных средств;
9503006900;Головоломки прочие ;
